Designator,Mid X,Mid Y,Rotation,Layer
12V1,115.349882,-85.418234,90.0,top
3V1,103.289882,-85.418234,90.0,top
5V1,109.295057,-85.418234,90.0,top
C1,142.729882,-39.173232,270.0,top
C11,198.589882,-54.543232,180.0,top
C12,214.589882,-57.130732,270.0,top
C13,214.589882,-51.105732,90.0,top
C14,212.589882,-51.105732,270.0,top
C15,199.152382,-50.543232,180.0,top
C16,201.189882,-48.343232,180.0,top
C17,212.589882,-57.130732,270.0,top
C18,213.689882,-54.143232,0.0,top
C19,210.199882,-37.203232,0.0,bottom
C2,95.245057,-46.968232,270.0,top
C20,96.009882,-30.983232,270.0,top
C21,162.220057,-65.918234,90.0,top
C22,150.245057,-29.718234,0.0,top
C23,131.495057,-29.718234,0.0,top
C24,169.495057,-30.218234,0.0,top
C25,131.245057,-53.118234,0.0,top
C26,173.329882,-59.743232,90.0,top
C27,150.142382,-52.123232,0.0,top
C28,169.379882,-52.223232,0.0,top
C29,191.264707,-37.21823,0.0,top
C3,96.395057,-50.118234,180.0,top
C30,151.849882,-42.743232,180.0,top
C31,191.369882,-46.043232,0.0,top
C32,193.677382,-72.503232,0.0,top
C33,208.869882,-70.463232,180.0,top
C34,191.269882,-41.793232,0.0,top
C35,199.939882,-72.523232,0.0,top
C36,112.795057,-79.918234,90.0,top
C37,114.819882,-74.900732,270.0,top
C38,110.795057,-79.918234,90.0,top
C39,112.795057,-71.418234,270.0,top
C4,97.495057,-46.968234,270.0,top
C40,110.795057,-71.418234,270.0,top
C41,182.069882,-63.493232,270.0,top
C42,198.239882,-47.633232,90.0,top
C43,105.889882,-74.293232,90.0,top
C44,206.307382,-43.693232,180.0,bottom
C45,200.382382,-61.323232,0.0,top
C5,108.795057,-35.705734,90.0,top
C6,106.699882,-32.683232,0.0,top
C8,198.602382,-56.543232,180.0,top
C9,198.589882,-52.543232,180.0,top
D1,124.795057,-35.568234,90.0,top
D2,122.159882,-89.733232,270.0,top
D3,105.889882,-69.693232,270.0,top
D4,94.700882,-69.993232,270.0,top
D5,154.349882,-92.463232,0.0,top
F2,121.059882,-79.863232,270.0,top
H1,87.269882,-25.493232,0.0,top
H3,154.489882,-78.293232,0.0,top
H4,221.389882,-25.593232,0.0,top
H5,87.269882,-91.333232,0.0,top
H6,221.379882,-91.393232,0.0,top
IC10,112.795057,-26.393232,90.0,top
IC11,106.545057,-26.418234,90.0,top
IC12,186.764707,-38.21823,0.0,top
IC13,186.769882,-42.793232,0.0,top
IC14,198.219882,-67.183232,90.0,top
IC15,186.869882,-47.043232,0.0,top
IC16,111.694057,-75.418234,270.0,top
IC2,109.145057,-55.638234,0.0,top
IC3,214.389882,-87.293232,270.0,top
IC4,206.989882,-87.293232,270.0,top
IC5,206.301882,-54.593232,270.0,top
IC6,112.545057,-31.918234,0.0,top
IC7,115.545057,-36.668234,180.0,top
IRQ1,203.989882,-83.293232,270.0,top
J1,121.294882,-25.593232,180.0,top
J3,85.265057,-58.398234,90.0,top
J4,138.759882,-78.443232,0.0,top
J5,169.649882,-78.263232,0.0,top
J6,223.345057,-58.555234,270.0,top
Q1,122.149882,-84.233232,180.0,top
R1,211.314882,-87.393232,90.0,top
R10,148.494707,-33.32823,90.0,top
R11,144.659882,-45.013232,270.0,top
R12,146.609882,-45.013232,270.0,top
R13,148.569882,-44.973232,270.0,top
R14,121.689882,-63.483232,0.0,top
R15,121.795057,-37.018234,270.0,top
R16,119.545057,-37.018234,270.0,top
R17,112.289882,-36.593232,90.0,top
R18,201.489882,-45.993232,0.0,top
R19,109.795057,-26.418234,90.0,top
R2,203.989882,-87.393232,90.0,top
R20,103.545057,-26.418234,90.0,top
R21,194.759882,-26.183232,270.0,top
R22,191.149882,-26.213232,270.0,top
R23,93.409882,-30.983232,90.0,top
R24,98.609882,-30.983232,90.0,top
R25,96.545057,-60.418234,180.0,top
R26,96.545057,-62.418234,180.0,top
R27,96.545057,-56.418234,180.0,top
R28,96.545057,-58.418234,0.0,top
R29,163.999882,-60.943232,0.0,top
R3,124.564882,-56.543232,0.0,top
R30,163.999882,-58.993232,0.0,top
R31,121.695057,-61.418234,180.0,top
R32,168.799882,-61.973232,270.0,top
R33,164.009882,-62.903232,0.0,top
R34,170.759882,-61.973232,270.0,top
R35,173.599882,-62.893232,180.0,top
R36,191.314707,-39.51823,180.0,top
R37,191.319882,-43.943232,180.0,top
R38,191.369882,-48.243232,180.0,top
R39,143.495057,-29.218234,180.0,top
R4,97.295057,-53.268234,270.0,top
R40,143.495057,-27.218234,180.0,top
R41,181.495057,-29.218234,180.0,top
R42,181.495057,-27.218234,180.0,top
R43,161.995057,-51.718234,180.0,top
R44,161.995057,-49.718234,180.0,top
R45,162.245057,-29.218234,180.0,top
R46,162.245057,-27.218234,180.0,top
R47,143.245057,-51.718234,180.0,top
R48,143.245057,-49.718234,180.0,top
R49,181.245057,-51.468234,180.0,top
R5,97.495057,-65.318234,90.0,top
R50,181.245057,-49.468234,180.0,top
R51,119.019882,-89.473232,90.0,top
R52,106.889882,-85.593232,90.0,top
R53,112.889882,-85.593232,90.0,top
R54,118.989882,-85.593232,90.0,top
R55,131.495057,-25.718234,0.0,top
R56,131.495057,-27.718234,0.0,top
R57,169.495057,-26.218234,0.0,top
R58,169.495057,-28.143232,0.0,top
R59,150.119882,-48.213232,0.0,top
R6,215.289882,-83.293232,270.0,top
R60,150.119882,-50.133232,0.0,top
R61,150.245057,-25.718234,0.0,top
R62,150.245057,-27.643232,0.0,top
R63,131.245057,-48.968234,0.0,top
R64,131.245057,-50.968234,0.0,top
R65,169.379882,-48.223232,0.0,top
R66,169.379882,-50.223232,0.0,top
R67,94.689882,-86.893232,270.0,top
R68,98.689882,-86.893232,270.0,top
R69,95.089882,-73.393232,0.0,top
R7,207.889882,-83.393232,270.0,top
R70,97.289882,-69.893232,90.0,top
R71,103.289882,-69.893232,270.0,top
R72,158.229882,-71.213232,270.0,top
R73,99.289882,-69.893232,270.0,top
R74,107.889882,-74.293232,270.0,top
R75,95.089882,-75.493232,180.0,top
R76,106.789882,-77.193232,0.0,top
R77,209.679882,-61.553232,0.0,top
R78,124.539882,-53.993232,0.0,top
R79,115.839882,-67.518232,0.0,top
R8,144.594707,-33.32823,90.0,top
R80,123.664882,-49.493232,270.0,top
R81,121.714882,-59.043232,0.0,top
R82,102.029882,-33.923232,180.0,top
R83,101.959882,-30.513232,0.0,top
R84,186.695,-35.385,0.0,top
R9,146.544707,-33.32823,90.0,top
S1,94.490057,-25.568234,270.0,top
S2,99.640057,-25.568234,270.0,top
SCLK1,211.289882,-83.293232,270.0,top
STATUS1,120.989882,-55.593232,270.0,top
TP1,103.289882,-91.418234,90.0,top
TP2,109.295057,-91.418234,90.0,top
TP3,115.289882,-91.398234,90.0,top
TP4,188.489882,-56.153232,90.0,top
TP5,104.429882,-42.383232,0.0,top
TP6,104.419882,-38.193232,0.0,top
TP7,191.089882,-59.653232,0.0,top
U1,137.542307,-29.493233,0.0,top
U2,137.245057,-51.968234,0.0,top
U3,169.470057,-67.706034,90.0,top
U4,156.245057,-29.468234,0.0,top
U5,155.995057,-51.968234,0.0,top
U6,175.495057,-29.468234,0.0,top
U7,175.245057,-51.968234,0.0,top
